timestamp,virtual_ip_port,request_success,response_time_ms,h1_state,h2_state,h3_state,active_host_detected
1762628047.580938,10.0.0.100:NONE,0,2000,ACTIVE,LOW_POWER,LOW_POWER,NONE
1762628058.6149418,10.0.0.100:8080,1,9,ACTIVE,ACTIVE,ACTIVE,10.0.0.1
1762628072.4800186,10.0.0.100:NONE,0,2000,ACTIVE,ACTIVE,ACTIVE,NONE
1762628088.5884073,10.0.0.100:9000,1,8,ACTIVE,ACTIVE,ACTIVE,10.0.0.1
1762628104.520177,10.0.0.100:8000,1,8,ACTIVE,ACTIVE,ACTIVE,10.0.0.1
