timestamp,virtual_ip_port,request_success,response_time_ms,h1_state,h2_state,h3_state,active_host_detected
1762629995.6185012,10.0.0.100:NONE,0,2000,ACTIVE,LOW_POWER,LOW_POWER,NONE
1762630003.6673334,10.0.0.100:8080,1,7,LOW_POWER,ACTIVE,LOW_POWER,10.0.0.2
1762630021.7845337,10.0.0.100:80,1,8,ACTIVE,LOW_POWER,LOW_POWER,10.0.0.1
1762630032.2373297,10.0.0.100:NONE,0,2000,ACTIVE,LOW_POWER,LOW_POWER,NONE
1762630037.7883885,10.0.0.100:9000,1,9,LOW_POWER,LOW_POWER,ACTIVE,10.0.0.3
1762630053.701505,10.0.0.100:8000,1,6,LOW_POWER,LOW_POWER,ACTIVE,10.0.0.3
